name,type,group,province,city,address,latitude,longitude,beds,practiceNumber,switchhouse,phone,source
ec Mhlakulo CHC,chc,,EC,,,-31.4021,28.84407,,,,,dsfsi_chc
ec Qumbu CHC,chc,,EC,,,-31.1672,28.86993,,,,,dsfsi_chc
ec Tabankulu CHC,chc,,EC,,"Nompukane Street, Erf 86, Ntabankulu",-30.9633,29.29951,,,,,dsfsi_chc
Aberdeen Satellite Clinic,clinic,Public,EC,,,-32.475,24.052,,,,,who_mfl
Addo Clinic,clinic,Public,EC,,,-33.5422,25.6908,,,,,who_mfl
Addo Enon Satellite Clinic,clinic,Public,EC,,,-33.3946,25.5463,,,,,who_mfl
Aeroville Clinic,clinic,Public,EC,,,-32.7496,25.6035,,,,,who_mfl
Agnes Rest Clinic,clinic,Public,EC,,,-31.6974,27.0313,,,,,who_mfl
Albany Road Clinic,clinic,Public,EC,,,-33.1803,26.3212,,,,,who_mfl
Alexandria Clinic,clinic,Public,EC,,"1 Sending Street, Wentzel Park",-33.6512,26.4142,,,,,who_mfl
Algoa Park Clinic,clinic,Public,EC,,,-33.9011,25.5645,,,,,who_mfl
Alicedale Clinic,clinic,Public,EC,,,-33.3173,26.0906,,,,,who_mfl
Aliwal North Block H Clinic,clinic,Public,EC,,1842 Ntsoetsanyane street,-30.6883,26.6867,,,,,who_mfl
Alphendale Clinic,clinic,Public,EC,,,-33.0135,27.8413,,,,,who_mfl
Amabele Clinic,clinic,Public,EC,,,-32.6633,27.5239,,,,,who_mfl
Amahleke Clinic,clinic,Public,EC,,,-32.8337,27.2283,,,,,who_mfl
Amathole Basin Clinic,clinic,Public,EC,,,-32.6958,26.993,,,,,who_mfl
Amatola TB Clinic,clinic,Public,EC,,,-32.89,27.39,,,,,who_mfl
Andrieskraal Clinic,clinic,Public,EC,,,-33.7465,24.6404,,,,,who_mfl
Anglo African Street Clinic,clinic,Public,EC,,3 Huntley Street Grahamstown,-33.31,26.5246,,,,,who_mfl
Askeaton Clinic,clinic,Public,EC,,,-31.6252,27.4607,,,,,who_mfl
Aspiranza Clinic,clinic,Public,EC,,,-33.0191,27.8499,,,,,who_mfl
Assina Mandla Clinic,clinic,Public,EC,,,-32.7504,26.7941,,,,,who_mfl
Bacclesfarm Clinic,clinic,Public,EC,,,-32.0399,26.4565,,,,,who_mfl
Badi Clinic,clinic,Public,EC,,,-32.287,28.6627,,,,,who_mfl
Balfour Clinic,clinic,Public,EC,,,-32.5457,26.6821,,,,,who_mfl
Banzi Clinic,clinic,Public,EC,,,-32.1263,27.5198,,,,,who_mfl
Baroda Clinic,clinic,Public,EC,,,-32.0021,25.5103,,,,,who_mfl
Bathurst Clinic,clinic,Public,EC,,,-33.4937,26.8312,,,,,who_mfl
Baviaans Clinic,clinic,Public,EC,,,-33.3246,24.3442,,,,,who_mfl
Beatrice Ngwentle Clinic,clinic,Public,EC,,,-32.7175,25.5915,,,,,who_mfl
Beestekraal Clinic,clinic,Public,EC,,,-31.5196,27.8097,,,,,who_mfl
Bengu Clinic Emalahleni,clinic,Public,EC,,,-31.7927,27.3354,,,,,who_mfl
Bensonvale Clinic,clinic,Public,EC,,,-30.5822,27.3566,,,,,who_mfl
Bergsig Clinic,clinic,Public,EC,,,-33.3873,25.4497,,,,,who_mfl
Berlin Clinic,clinic,Public,EC,,,-32.8839,27.5778,,,,,who_mfl
Bethania Clinic,clinic,Public,EC,,,-30.6228,28.333,,,,,who_mfl
Bezuidenhoutville Clinic,clinic,Public,EC,,,-32.688,26.2981,,,,,who_mfl
Bhele Clinic,clinic,Public,EC,,,-33.2026,27.1827,,,,,who_mfl
Bhisho Parliament Clinic,clinic,Public,EC,,,-32.8639,27.429,,,,,who_mfl
Bhongweni Clinic,clinic,Public,EC,,,-32.7449,25.7983,,,,,who_mfl
Bilatye Clinic,clinic,Public,EC,,,-31.9464,27.3651,,,,,who_mfl
Bityi Clinic,clinic,Public,EC,,,-31.7942,28.5234,,,,,who_mfl
Bluegums Clinic,clinic,Public,EC,,,-30.5475,27.2324,,,,,who_mfl
Bokleni Clinic,clinic,Public,EC,,,-31.5946,28.1949,,,,,who_mfl
Bolotwa Clinic Confimvaba,clinic,Public,EC,,,-31.5919,27.2009,,,,,who_mfl
Bolotwa Clinic Idutywa,clinic,Public,EC,,,-31.917,28.2921,,,,,who_mfl
Bomvana Clinic,clinic,Public,EC,,,-32.1132,28.8016,,,,,who_mfl
Boomplaas Clinic,clinic,Public,EC,,,-31.5129,27.1707,,,,,who_mfl
Booysens Park Clinic,clinic,Public,EC,,,-33.862,25.4587,,,,,who_mfl
Braelyn Clinic,clinic,Public,EC,,,-32.9999,27.8793,,,,,who_mfl
Braelyn Extension Clinic,clinic,Public,EC,,,-33.004,27.861,,,,,who_mfl
Breidbach Clinic,clinic,Public,EC,,,-32.8881,27.4436,,,,,who_mfl
Brister House Clinic,clinic,Public,EC,Port Elizabeth,6001,-33.9575,25.6187,,,,,who_mfl
Brug Straat Clinic Jansenville,clinic,Public,EC,,3 Brug Street Jansenville,-32.9481,24.6656,,,,,who_mfl
Bulembu Clinic,clinic,Public,EC,,,-32.8734,27.2677,,,,,who_mfl
Buntingville Clinic,clinic,Public,EC,,,-31.6338,28.8666,,,,,who_mfl
Burnshill Clinic,clinic,Public,EC,,,-32.769,27.0551,,,,,who_mfl
CC Lloyd Clinic,clinic,Public,EC,,,-32.775,26.6336,,,,,who_mfl
Caguba Clinic,clinic,Public,EC,,,-31.6237,29.4494,,,,,who_mfl
Cambridge Clinic,clinic,Public,EC,,Sprigg Street,-32.9779,27.8895,,,,+27 43 726 0142,who_mfl
Cata Clinic,clinic,Public,EC,,,-32.5948,27.1248,,,,,who_mfl
Chatty Clinic,clinic,Public,EC,,,-33.8732,25.4954,,,,,who_mfl
Cimezile Clinic,clinic,Public,EC,,,-32.274,26.6235,,,,,who_mfl
Civic Centre Clinic Mthatha,clinic,Public,EC,,,-31.5826,28.7899,,,,,who_mfl
Clarkebury Clinic,clinic,Public,EC,,,-31.7919,28.2879,,,,,who_mfl
Clicks Pharmacy Aliwal North,clinic,Independent,EC,,32 Somerset street,,,,,,,dsfsi_vacc
Clicks Pharmacy BT Ngebs Mall,clinic,Independent,EC,,"BT Ngebs Shopping Centre , Shop 133 BT Ngebs Mall, 2nd Avenue, Mthatha Central",,,,,,,dsfsi_vacc
Clicks Pharmacy Beacon Bay,clinic,Independent,EC,East London,"Shop 26, Beacon Bay Shopping Centre, Bonza Bay Road, Beacon Bay",,,,,,,dsfsi_vacc
Clicks Pharmacy Cleary Park,clinic,Independent,EC,,"Shop 5 Cleary Park Centre, Standford Road, Cleary Park, Bethelsdorp",,,,,,,dsfsi_vacc
Clicks Pharmacy Gonubie,clinic,Independent,EC,East London,"Shop 2 Kings Mall, C/O Mains Road and Gill Road, Gonubie",,,,,,,dsfsi_vacc
Clicks Pharmacy Graaff-Reinet,clinic,Independent,EC,,21 Caledon Street,,,,,,,dsfsi_vacc
Clicks Pharmacy Grahamstown,clinic,Independent,EC,,42 High Street,,,,,,,dsfsi_vacc
Clicks Pharmacy Hemmingways,clinic,Independent,EC,East London,"Shop UG10 Hemmingways Mall 2, C/O West Services Ave and 2 Rivers Road, East London",,,,,,,dsfsi_vacc
Clicks Pharmacy Humewood,clinic,Independent,EC,,Humeway Centre Humewood Road,,,,,,,dsfsi_vacc
Clicks Pharmacy Jeffreys Bay,clinic,Independent,EC,,"C/O De Gamma and Noord Se Kloof, Central, Jeffreys Bay",,,,,,,dsfsi_vacc
Clicks Pharmacy Kabega Park,clinic,Independent,EC,,"Shop 14, Metlife Plaza, Kabega Park",,,,,,,dsfsi_vacc
Clicks Pharmacy King Williams Town,clinic,Independent,EC,East London,"Shop 7 Metlife Mall, C/O Charles Smith Street and Cross Street, King Williamstown",,,,,,,dsfsi_vacc
Clicks Pharmacy Mdantsane,clinic,Independent,EC,East London,Cnr Qumza & Billie Roads,,,,,,,dsfsi_vacc
Clicks Pharmacy Penford,clinic,Independent,EC,,Cnr Graaff-reinet Road & Gibson Street,,,,,,,dsfsi_vacc
Clicks Pharmacy Pier 14,clinic,Independent,EC,,Pier 14 444 Govan Mbeki Avenue,,,,,,,dsfsi_vacc
Clicks Pharmacy Vincent Park,clinic,Independent,EC,East London,Devereux Avenue,,,,,,,dsfsi_vacc
Clicks Pharmacy Walmer Park,clinic,Independent,EC,,"Shop 46, Walmer Park Centre, Main Road, Walmer",,,,,,,dsfsi_vacc
Coega Satellite Clinic,clinic,Public,EC,,,-33.7567,25.6579,,,,,who_mfl
Colesberg Town Clinic,clinic,Public,EC,,,-30.7081,25.1012,,,,,who_mfl
Collondale Satellite Clinic,clinic,Public,EC,,,-33.0397,27.8188,,,,,who_mfl
Cumakala 1 Clinic,clinic,Public,EC,,,-32.5571,27.4475,,,,,who_mfl
Cumakala Satellite Clinic,clinic,Public,EC,,,-31.6481,27.2246,,,,,who_mfl
Cwecweni Clinic,clinic,Public,EC,,,-31.9367,28.0558,,,,,who_mfl
Cwele Clinic,clinic,Public,EC,,,-31.672,29.2129,,,,,who_mfl
Cwili Clinic,clinic,Public,EC,,,-32.677,28.3633,,,,,who_mfl
Daliwe Clinic,clinic,Public,EC,,,-32.3019,27.1513,,,,,who_mfl
De Aar Town Clinic,clinic,Public,EC,,,-30.6496,24.0095,,,,,who_mfl
Debe Nek Clinic,clinic,Public,EC,,,-32.8458,27.1379,,,,,who_mfl
Didimana Clinic,clinic,Public,EC,,,-32.1758,26.8186,,,,,who_mfl
Dis-Chem Baywest Mall Pharmacy,clinic,Independent,EC,,"Shop LG05, Baywest Mall, 100 Baywest Boulevard, Hunters Treat, Port Elizabeth, 6017. E.Cape",,,,,,,dsfsi_vacc
Donnington Clinic,clinic,Public,EC,,,-32.7236,27.4258,,,,,who_mfl
Dr CL Bikitsha Clinic,clinic,Public,EC,,,-32.2782,28.1055,,,,,who_mfl
Drake Road Clinic,clinic,Public,EC,,,-32.9857,27.9292,,,,,who_mfl
Du Preez Street Clinic,clinic,Public,EC,,,-33.8033,25.4627,,,,,who_mfl
Durban Street Pharmacy,clinic,,EC,,"86 Durban St, Uitenhage, Kariega, 6229",,,,,,,dsfsi_vacc
Edamini Clinic,clinic,Public,EC,,,-33.8327,25.3856,,,,,who_mfl
Efata Clinic,clinic,Public,EC,,,-31.5697,28.7242,,,,,who_mfl
Ekuphumleni Clinic,clinic,Public,EC,,,-32.1781,26.7819,,,,,who_mfl
Ekuphumleni Satellite Clinic Nelson Mandela Bay,clinic,Public,EC,,,-33.8545,25.2903,,,,,who_mfl
Elliotdale Community Health Centre,clinic,,EC,,,-31.9734307,28.6911692,,,,,osm
Elucwecwe Clinic,clinic,Public,EC,,,-31.7338,27.8688,,,,,who_mfl
Eluhewini Clinic,clinic,Public,EC,,,-31.7058,28.1264,,,,,who_mfl
Eluxolweni Clinic,clinic,Public,EC,,"385 Zwide, Hofmeyr",-31.6433,25.8052,,,,,who_mfl
Endermologie Clinic,clinic,,EC,,Main Road,-33.9819809,25.5680052,,,,+27 41 581 5496,osm
Engojini Clinic,clinic,Public,EC,,,-32.2239,26.7539,,,,,who_mfl
Esilindini Clinic,clinic,Public,EC,,Zincuka Administrative Area Mt Fletcher,-30.5439,27.3303,,,,,who_mfl
Ethembeni Clinic,clinic,Public,EC,,"100 Jacobsdal Road, Koffiefontein",-32.7628,27.4318,,,,,who_mfl
Eureka Clinic,clinic,Public,EC,,,-31.0103,26.319,,,,,who_mfl
Eurekaville Clinic,clinic,Public,EC,,,-31.1882,24.9479,,,,,who_mfl
Ezibeleni Clinic,clinic,Public,EC,,,-31.9081,26.9564,,,,,who_mfl
Fezeka NU 3 Clinic,clinic,Public,EC,,,-32.9319,27.7532,,,,,who_mfl
Fish River Clinic,clinic,Public,EC,,,-31.9119,25.4159,,,,,who_mfl
Flora Clinic,clinic,Public,EC,,,-30.593,25.4949,,,,,who_mfl
Fort Grey Clinic,clinic,Public,EC,,,-33.037,27.8032,,,,,who_mfl
Fort Malan Clinic,clinic,Public,EC,,,-32.1513,28.5235,,,,,who_mfl
Frankfort Clinic,clinic,Public,EC,,,-32.7202,27.4527,,,,,who_mfl
Fransbury Clinic,clinic,Public,EC,,,-31.9642,27.0748,,,,,who_mfl
Frere Gateway Clinic,clinic,Public,EC,,,-32.9971,27.8898,,,,,who_mfl
Gardens Clinic,clinic,Public,EC,,,-31.8949,26.8719,,,,,who_mfl
Gcaleka Clinic,clinic,Public,EC,,,-32.3379,28.3199,,,,,who_mfl
Gelvandale Clinic,clinic,Public,EC,,,-33.9165,25.5491,,,,,who_mfl
Gilton Clinic,clinic,Public,EC,,,-32.6618,26.9424,,,,,who_mfl
Ginsberg Clinic,clinic,Public,EC,,,-32.8921,27.3855,,,,,who_mfl
Glenmore Clinic,clinic,Public,EC,,,-33.1426,26.8584,,,,,who_mfl
Gompo A Ndende Clinic,clinic,Public,EC,,,-33.0072,27.8762,,,,,who_mfl
Gompo B Jwayi Clinic,clinic,Public,EC,,,-33.0167,27.8578,,,,,who_mfl
Gonubie Clinic,clinic,Public,EC,,,-32.9415,28.0219,,,,,who_mfl
Govan Mbeki Clinic,clinic,Public,EC,,,-33.9481,25.6064,,,,,who_mfl
Gqaga Clinic,clinic,Public,EC,,,-31.5541,28.2108,,,,,who_mfl
Gqaqhala Clinic,clinic,Public,EC,,,-31.2828,28.3875,,,,,who_mfl
Gqogqora Clinic,clinic,Public,EC,,,-31.9805,27.8884,,,,,who_mfl
Gqubeni Clinic,clinic,Public,EC,,,-31.5521,29.4587,,,,,who_mfl
Gqunqe Clinic,clinic,Public,EC,,,-32.4688,28.5627,,,,,who_mfl
Gracey Clinic,clinic,Public,EC,,,-32.5787,25.1284,,,,,who_mfl
Grainvalley Clinic,clinic,Public,EC,,,-32.2376,28.0486,,,,,who_mfl
Greenfields Clinic,clinic,Public,EC,,,-33.0352,27.8641,,,,,who_mfl
Greenways Family Medical Centre,clinic,,EC,Port Elizabeth,Greenways Avenue,-33.993787,25.5359377,,,,+27 41 368 3706,osm
Guba Clinic,clinic,Public,EC,,,-31.5354,27.2793,,,,,who_mfl
Gubenxa Clinic,clinic,Public,EC,,,-31.7174,27.821,,,,,who_mfl
Gustav Lamour Clinic,clinic,Public,EC,,,-33.8159,25.4639,,,,,who_mfl
Gwabeni Clinic,clinic,Public,EC,,,-33.0961,26.9619,,,,,who_mfl
Gwadana Clinic,clinic,Public,EC,,,-32.1429,28.2889,,,,,who_mfl
Gwadu Clinic,clinic,Public,EC,,,-32.2203,28.6677,,,,,who_mfl
Gwatyu Clinic,clinic,Public,EC,,,-32.0169,27.3156,,,,,who_mfl
Gxulu Clinic,clinic,Public,EC,,,-32.6452,27.1099,,,,,who_mfl
Gxwederha Clinic,clinic,Public,EC,,,-32.8416,26.7865,,,,,who_mfl
Hackney Clinic,clinic,Public,EC,,,-32.3144,26.6452,,,,,who_mfl
Hamburg Clinic,clinic,Public,EC,"Hamburg, Amathole District",5641,-33.2905,27.4733,,,,,who_mfl
Hanover Clinic,clinic,Public,EC,,,-31.0675,24.4474,,,,,who_mfl
Haytor Clinic,clinic,Public,EC,,,-32.2942,26.7705,,,,,who_mfl
Healdtown Clinic,clinic,Public,EC,,,-32.7315,26.7015,,,,,who_mfl
Hebe-Hebe Clinic,clinic,Public,EC,,,-32.236,27.8303,,,,,who_mfl
Herschel Clinic,clinic,Public,EC,,,-30.6147,27.1644,,,,,who_mfl
High Street Clinic,clinic,Public,EC,,,-32.1686,25.6162,,,,,who_mfl
Highview Clinic,clinic,Public,EC,,,-32.4351,27.9467,,,,,who_mfl
Hillside Clinic Nkonkobe,clinic,Public,EC,,,-32.7522,26.6398,,,,,who_mfl
Hillside Clinic Senqu,clinic,Public,EC,,Hillside Village Sterkspruit,-30.561,27.5642,,,,,who_mfl
Hilton Clinic,clinic,Public,EC,,"Shop 16 The Quarry Centre, 57 Hilton Avenue, Hilton, 3201",-30.6971,26.7019,,,,,who_mfl
Hlabatshane Clinic,clinic,Public,EC,,Hlabatshane Clinic Hlabatshane Aa Mqanduli,-31.7449,28.8566,,,,,who_mfl
Hlala Uphilile Clinic,clinic,Public,EC,,,-31.381,27.0367,,,,,who_mfl
Hlankomo Clinic,clinic,Public,EC,,,-30.9303,28.4191,,,,,who_mfl
Hlomendlini Clinic,clinic,Public,EC,,,-30.5858,27.2632,,,,,who_mfl
Hobeni Clinic,clinic,Public,EC,"Hobeni, Amathole District Municipality, Eastern Cape",,-32.175,28.8757,,,,+27 47 487 0166; +27 47 487 0167,who_mfl
Hofmeyer Clinic,clinic,Public,EC,,,-31.6558,25.804,,,,,who_mfl
Horton Clinic,clinic,Public,EC,,,-33.1127,27.0216,,,,,who_mfl
Hukuwa Clinic,clinic,Public,EC,,,-32.1554,26.647,,,,,who_mfl
Ibika Clinic,clinic,Public,EC,,,-32.2835,28.2205,,,,,who_mfl
Idutywa Nqabara Clinic,clinic,Public,EC,,,-32.1009,28.4538,,,,,who_mfl
Ikamvelihle Clinic,clinic,Public,EC,,,-33.7932,25.613,,,,,who_mfl
Ilinge Clinic,clinic,Public,EC,,,-31.9773,27.0402,,,,,who_mfl
Ilita Clinic,clinic,Public,EC,,,-32.8899,27.5338,,,,,who_mfl
Imidange Clinic,clinic,Public,EC,,,-32.7796,27.487,,,,,who_mfl
Imizamo Yetho Clinic,clinic,Public,EC,,,-33.743,24.7974,,,,,who_mfl
Isolomzi Clinic,clinic,Public,EC,,,-33.8256,25.3754,,,,,who_mfl
Jafta Clinic,clinic,Public,EC,,,-32.7988,27.3108,,,,,who_mfl
Jaji Clinic,clinic,Public,EC,,,-33.3514,27.1132,,,,,who_mfl
Jalamba Clinic,clinic,Public,EC,,,-32.0169,28.7392,,,,,who_mfl
Jama Clinic,clinic,Public,EC,,,-33.3769,27.0937,,,,,who_mfl
Jingqi Clinic,clinic,Public,EC,,,-32.3331,28.6578,,,,,who_mfl
Joe Slovo Clinic,clinic,Public,EC,,,-33.825,25.5027,,,,,who_mfl
John Dube Clinic,clinic,Public,EC,,,-32.9913,27.8164,,,,,who_mfl
Joza Clinic,clinic,Public,EC,,,-33.2917,26.5603,,,,,who_mfl
KB Siswana Clinic,clinic,Public,EC,,,-31.5592,26.5493,,,,,who_mfl
Kamastone Clinic,clinic,Public,EC,,,-32.0695,26.6487,,,,,who_mfl
Kareedouw Clinic,clinic,Public,EC,,,-33.9524,24.306,,,,,who_mfl
Kati-Kati Clinic,clinic,Public,EC,,,-32.2882,27.1571,,,,,who_mfl
Kenton-On-Sea Clinic,clinic,Public,EC,,,-33.6762,26.6663,,,,,who_mfl
Keti Clinic,clinic,Public,EC,,,-32.0421,28.1156,,,,,who_mfl
Keurtjieskloof Clinic,clinic,Public,EC,,,-30.0108,24.7307,,,,,who_mfl
Khanya Clinic,clinic,Public,EC,,,-33.8653,25.575,,,,,who_mfl
Khayamnandi Clinic,clinic,Public,EC,,Paka street 5920,-31.2817,25.8121,,,,,who_mfl
Kholekile Edward Twani Clinic,clinic,Public,EC,,,-30.6699,24.0225,,,,,who_mfl
Khuze Clinic,clinic,Public,EC,,,-32.2127,27.6278,,,,,who_mfl
Kirkwood Care Centre,clinic,,EC,,1 Sonop Street,,,,,,,dsfsi_vacc
Kirkwood Clinic,clinic,Public,EC,,,-33.4006,25.4429,,,,,who_mfl
Kleinbulhoek Clinic,clinic,Public,EC,,,-32.1,26.5602,,,,,who_mfl
Klinicare Kings Court Pharmacy,clinic,,EC,,Kings Court Walmer Heights Buffelsfontein Road,,,,,,,dsfsi_vacc
Klinicare Uitenhage Pharmacy,clinic,,EC,,114 Caledon Street,,,,,,,dsfsi_vacc
Klinimed Pharmacy,clinic,,EC,,"32 Newton St, Newton Park, Gqeberha",,,,,,,dsfsi_vacc
Klinipharm Pharmacy,clinic,,EC,,"Westway Medical Centre, 349 Cape Road, Newton Park",,,,,,,dsfsi_vacc
Kohlo Clinic,clinic,Public,EC,,,-31.5701,29.4075,,,,,who_mfl
Kolomana Clinic,clinic,Public,EC,,,-32.4255,26.7888,,,,,who_mfl
Komga Rural Clinic,clinic,Public,EC,,,-32.663,27.8925,,,,,who_mfl
Komga Town Clinic,clinic,Public,EC,,,-32.587,27.8849,,,,,who_mfl
Kotana Clinic,clinic,Public,EC,,,-32.1487,28.1465,,,,,who_mfl
Kotyana Clinic,clinic,Public,EC,,,-32.0437,28.9994,,,,,who_mfl
Kroonvale Clinic,clinic,Public,EC,,,-32.2392,24.5403,,,,,who_mfl
Kruisrivier Clinic,clinic,Public,EC,,,-33.7668,25.3484,,,,,who_mfl
Ku Bengu Clinic,clinic,Public,EC,,,-32.1434,27.6173,,,,,who_mfl
Kubusi Clinic,clinic,Public,EC,,,-32.5943,27.4129,,,,,who_mfl
Kuyasa Clinic,clinic,Public,EC,"Plot 11112, Thembalethu",Ntlazane Road,-30.7181,25.1082,,,,,who_mfl
Kwa-Mkholoza Clinic,clinic,Public,EC,,,-32.3206,28.595,,,,,who_mfl
Kwa-Nonqubela Clinic,clinic,Public,EC,,"A Street, Alexandria",-33.6568,26.4204,,,,,who_mfl
Kwadwesi Clinic,clinic,Public,EC,Ibhayi,Asrayi Street,-33.8481,25.5188,,,,+27 41 485 2223,who_mfl
Kwamagxaki Clinic,clinic,Public,EC,,Mooda Street,-33.8402,25.5335,,,,,who_mfl
Kwanonzame New Clinic,clinic,Public,EC,,"Masango Street, Kwanonzame",-31.5166,24.9994,,,,,who_mfl
Kwazamukucinga Clinic,clinic,Public,EC,,,-32.9428,24.6779,,,,,who_mfl
Kwazenzele Clinic,clinic,Public,EC,,Griffithz Road Paterson,-33.4392,25.9743,,,,,who_mfl
Kwelera Clinic,clinic,Public,EC,,,-32.8234,27.9628,,,,,who_mfl
LYNWARD VERSEKERINGS MAKELAARS BK,clinic,,EC,Kariega,Spencer Street,-33.7586498,25.4090013,,,,,osm
Lahlangubo Clinic Ngcobo,clinic,Public,EC,,,-31.6614,27.8667,,,,,who_mfl
Lahlangubo Clinic Queenstown,clinic,Public,EC,,,-32.2013,26.6951,,,,,who_mfl
Lanti Clinic,clinic,Public,EC,,,-31.867,27.359,,,,,who_mfl
Lenye Clinic,clinic,Public,EC,,,-32.7494,27.0857,,,,,who_mfl
Lephoi Clinic,clinic,Public,EC,,1 South Street Bethulie,-30.4978,25.9798,,,,,who_mfl
Lesseyton Clinic,clinic,Public,EC,,"Main Road Village, Queenstown",-31.8424,26.7773,,,,,who_mfl
Libode Clinic,clinic,Public,EC,Libode Village,5160,-31.545,29.0167,,,,,who_mfl
Life Queenstown Prv Hosp,clinic,,EC,,63 Ebden Road,,,,,,,dsfsi_vacc
Life St Dominic s Hosp,clinic,,EC,East London,45 St Marks Road,,,,,,,dsfsi_vacc
Life St George s Hosp,clinic,,EC,,40 Park Drive,,,,,,,dsfsi_vacc
Life St Mary s Hosp,clinic,,EC,,30 Durham Street,,,,,,,dsfsi_vacc
Lingelihle Clinic,clinic,Public,EC,,,-32.1806,25.6292,,,,,who_mfl
Linton Grange Clinic,clinic,Public,EC,,,-33.9434,25.5155,,,,,who_mfl
Lizo Ngcana Clinic,clinic,Public,EC,,Daresalam Unfound Location Queenstown,-31.9216,26.8633,,,,,who_mfl
Loerie Clinic,clinic,Public,EC,,,-33.8641,25.0257,,,,,who_mfl
Lota Clinic,clinic,Public,EC,,,-31.8632,28.3363,,,,,who_mfl
Lotusville Clinic,clinic,Public,EC,,,-32.4723,24.0403,,,,,who_mfl
Lower Mncuncuzo Clinic,clinic,Public,EC,,,-31.9083,27.5978,,,,,who_mfl
Lower Regu Clinic,clinic,Public,EC,,,-32.8181,26.9525,,,,,who_mfl
