@id,@type,name,amenity,healthcare,addr:city,addr:street,addr:postcode,phone,website,@lat,@lon
298122726,node,Cross Roads,pharmacy,pharmacy,,,,,,-26.0933111,28.0056251
298123405,node,Oakmed,pharmacy,pharmacy,,,,,,-26.0926400,28.0034800
298125275,node,Medicare,pharmacy,pharmacy,,,,,,-26.1041145,27.9772037
298125308,node,,dentist,,,,,,,-26.1051165,27.9773256
300279837,node,Culemborg Pharmacy,pharmacy,pharmacy,,,,,,-33.9191885,18.4253587
300283912,node,Litekem Pharmacy,pharmacy,pharmacy,Cape Town,Darling Street,8000,+27 65 515 3169,https://www.litekem.co.za/,-33.9243529,18.4226813
300376491,node,Pharma Value,pharmacy,pharmacy,,,,,,-25.8264878,28.2594646
300376715,node,Pharmavalue,pharmacy,pharmacy,,,,,,-25.8618900,28.2506999
300385930,node,"Nova Dental Care Southlake Centre, First Floor",dentist,dentist,Centurion,Lenchen Avenue North,0157,,,-25.8601977,28.1873494
300388908,node,Castle Ridge,pharmacy,pharmacy,,,,,,-25.8142756,28.2420941
301910228,node,Pierre Ferreira,dentist,,,,,,,-25.7777400,28.2872700
302077613,node,Clicks,pharmacy,pharmacy,Pretoria,Keuning Street,0127,,,-25.7357401,28.3118100
302089066,node,,pharmacy,,,,,,,-25.7084384,28.2880680
302089375,node,Dis-Chem,pharmacy,pharmacy,,,,,,-25.6812400,28.2487700
302092518,node,Jan Van Rensburg,dentist,,,,,,,-25.6806115,28.2196748
302092693,node,Alpha Pharm,pharmacy,,,,,,,-25.6792000,28.2180900
303299025,node,Tradtional Healer,pharmacy,,,,,,,-34.0294560,18.3592979
303787263,node,Pharmarama,pharmacy,doctor;pharmacy,Centurion,"Bothrill Avenue, Blu Valley Mall",0157,,,-25.9072187,28.1412969
303800657,node,Clicks,pharmacy,,,,,,,-25.8766287,28.1748425
303800661,node,,dentist,,,,,,,-25.8763270,28.1753320
303800710,node,Link,pharmacy,pharmacy,,,,,,-25.8559200,28.2162400
304692792,node,Franschhoek Pharmacy,pharmacy,pharmacy,,,,,,-33.9090469,19.1178227
305745742,node,Weleda,pharmacy,pharmacy,,,,,,-26.0218300,28.0148300
305745812,node,Vitahealth,pharmacy,pharmacy,,,,,,-26.0177310,28.0107729
305745970,node,Clicks,pharmacy,pharmacy,,,,,,-26.0164100,28.0063500
305770918,node,Dis-Chem,pharmacy,pharmacy,,,,,,-26.0387400,27.9935700
305771010,node,Clicks,pharmacy,pharmacy,,,,,,-26.0407400,27.9937100
305771182,node,,dentist,dentist,Randburg,"Cnr Robyn Street & Platina Street, Jukskei Meander",2194,,,-26.0339604,27.9827570
305771195,node,,dentist,,,,,,,-26.0240193,27.9773865
307692604,node,Van Heerdens,pharmacy,doctor;pharmacy,Pretoria,Stanza Bopape Street,0001,,,-25.7449881,28.2053888
307692664,node,Marie Stopes Pretoria,clinic,clinic,Pretoria,Johannes Ramokhoase Street,0001,,https://www.mariestopes.org.za/our-centres/pretoria/,-25.7431040,28.1961334
307692810,node,Heathmode,pharmacy,pharmacy,Pretoria,Bloed Street,0001,,,-25.7398800,28.1930100
307692913,node,,dentist,dentist,,,,,,-25.7400600,28.1922700
307693151,node,Ringpharm,pharmacy,pharmacy,,,,,,-25.7490686,28.1527904
307693385,node,,dentist,dentist,,,,,,-25.7468365,28.1494322
307693548,node,Clicks,pharmacy,pharmacy,,,,,,-25.7478185,28.1483589
309434589,node,,dentist,,,,,,,-25.8101300,28.2964700
309434606,node,Arrie Nel Pharmacy,pharmacy,pharmacy,,,,,,-25.8192514,28.2890552
309437181,node,,dentist,,,,,,,-25.7752200,28.3063800
309659961,node,Clicks,pharmacy,pharmacy,Kempton Park,Baker Road,2001,+27 11 524 0973,https://clicks.co.za/,-26.1363903,28.1803072
318401892,node,Clicks,pharmacy,,,,,,,-25.8847400,28.2045700
318402043,node,HealthChem,pharmacy,,,,,,,-25.9161700,28.1941000
318657659,node,Link Pharmacy,pharmacy,pharmacy,Centurion,"Rooihuiskraal Road, Mall @ Reds",0157,,,-25.8726683,28.1378269
318658877,node,Mnandi,pharmacy,,,,,,,-25.8761462,28.1126620
320685234,node,Irene Pharmacy,pharmacy,,,,,,,-25.8766880,28.2236724
323137823,node,McPharmacy,pharmacy,pharmacy,Kloof,Village Road,3610,+27 31 764 4441,https://www.facebook.com/Mcpharmacy-Kloof-262078527268220/,-29.7956362,30.8400288
323137825,node,,doctors,doctor,,,,,,-29.7962133,30.8394615
337747119,node,Konrad Le Roux,dentist,,,,,,,-25.7543202,28.2890950
345367367,node,Townships,pharmacy,,,,,,,-25.7772000,28.2462700
345367393,node,Lara Van Der Merwe,dentist,dentist,Pretoria,Milner Street,0181,,,-25.7781000,28.2389498
365316009,node,,doctors,,,,,,,-25.8370718,28.2523703
365316029,node,Clicks,pharmacy,clinic;pharmacy,,,,,,-25.8369603,28.2523880
366197021,node,Carstenhof Clinic,hospital,hospital,,,,,,-26.0294073,28.1393846
369820013,node,Medical Centre,doctors,,,,,,,-29.9089126,31.0199385
369820015,node,,pharmacy,pharmacy,,,,,,-29.9089587,31.0198648
373385714,node,,pharmacy,,,,,,,-26.0894200,27.9284100
373386305,node,Jordaan,dentist,,,,,,,-26.1040207,27.9243062
373386337,node,Link,pharmacy,,,,,,,-26.1044100,27.9269700
373387370,node,Dischem,pharmacy,pharmacy,,,,,,-26.1016172,27.9409545
373467120,node,Medicare Pharmacy,pharmacy,pharmacy,,,,,,-26.0855500,27.9474100
373467489,node,,dentist,,,,,,,-26.0631078,27.9701668
373467623,node,The Corner,pharmacy,,,,,,,-26.0626200,27.9701000
373468444,node,Clicks,pharmacy,,,,,,,-26.0604461,27.9576316
373468917,node,,dentist,dentist,,,,,,-26.0622400,27.9536500
384064703,node,,pharmacy,,,,,,,-26.1353820,28.3712652
385281218,node,Clicks,pharmacy,pharmacy,Johannesburg,Rivonia Road,2191,+27112341064,https://clicks.co.za/,-26.0291384,28.0600494
386173070,node,Ringpharm,pharmacy,,,,,,,-25.7469400,28.3180600
387709745,node,Health Emporium,,centre,,,,,,-25.9961215,28.1299232
395226277,node,,dentist,,,,,,,-33.8728394,18.6546202
396010055,node,GSMOP - Gerhard Swart Medical Orthotist and Prosthetist,doctors,doctor,Pretoria,Lange Street,0084,,,-25.7745900,28.2304200
396010082,node,Waterkloof Corner Pharmacy,pharmacy,pharmacy,Pretoria,Crown Street,0011,+27 12 346 8827,http://www.arrienelapteekgroep.co.za/p/269939/waterkloof-corner-pharmacy--waterkloof,-25.7747852,28.2409022
410236507,node,Clicks,pharmacy,pharmacy,,,2128,+27118039155;+27118039188;+27112341671,https://clicks.co.za/store/Rivonia-JHB/360,-26.0589459,28.0610619
411910790,node,,dentist,,,,,,,-25.7901200,28.2645300
420888006,node,Kaka,doctors,doctor,,,,,,-26.0730149,27.9202499
440245215,node,Watersons Pharmacy CC,pharmacy,pharmacy,,,,,,-32.1700084,25.6178045
442119786,node,Nelmed Medicross Medical Centre,doctors,doctor,,,,,,-25.4762578,30.9781895
453030860,node,Hout Bay Family Medical Center,doctors,doctor,Hout Bay Cape Town,Victoria Avenue,,+27 21 790 3120,,-34.0415114,18.3505366
453030861,node,Sentinal Pharmacy,pharmacy,,,,,,,-34.0406036,18.3499199
453030862,node,Wheelers Pharmacy,pharmacy,,,,,,,-34.0426779,18.3590379
456017805,node,Forest Glade Pharmacy,pharmacy,,,,,,,-34.0618679,18.4347500
462085416,node,Reddam Pharmacy,pharmacy,pharmacy,,,,,,-34.0731090,18.4318257
462189440,node,,pharmacy,,,,,,,-25.8012386,28.2333684
466057617,node,Intercare,dentist,,,,,,,-25.8171784,28.3029196
471112995,node,Wilmar Pharmacy,pharmacy,,,Kerk Street,,,,-27.7679125,30.7927374
471799749,node,Hubert Kraftt Dentist,dentist,dentist,,,,,,-25.4793767,30.9702873
479747639,node,Dischem,pharmacy,clinic;pharmacy,Benoni,Kei Road,1559,,,-26.1621554,28.3046864
479754584,node,Lakefield Pharmacy,pharmacy,pharmacy,Benoni,Lakefield Avenue,1401,,,-26.1784786,28.2867308
479778802,node,Brentwood Pharmacy,pharmacy,pharmacy,Benoni,Great North Road,1501,,,-26.1460843,28.2978715
479797234,node,,pharmacy,,,,,,,-26.1604220,28.2799501
482830071,node,Cambridge Crossing Pharmacy,pharmacy,,,,,,,-26.0352387,28.0508796
496067580,node,Arrie Nel Olivewood Pharmacy,pharmacy,,,,,,,-25.8293090,28.2958724
496067614,node,Arrie Nel,pharmacy,pharmacy,,,,,,-25.8413875,28.2799903
506947537,node,,doctors,,,,,,,-25.3438768,31.1294968
522194405,node,Clicks,pharmacy,clinic;pharmacy,,,,,,-25.7660799,28.3242074
523833490,node,Blooms,pharmacy,pharmacy,,,,,,-33.9320826,18.4090599
529395219,node,Clicks,pharmacy,pharmacy,,,,,,-25.8232884,28.3112414
534579980,node,Clicks,pharmacy,pharmacy,Johannesburg,,,,,-26.2026065,28.0402708
537112095,node,Dr K van der Westhuizen,doctors,doctor,,,,,,-33.9347940,18.4454764
538480071,node,Woolfson's,pharmacy,pharmacy,,,,,,-25.7503200,28.2344000
539651422,node,Medicare,pharmacy,,,,,,,-25.9865700,27.9858800
550179508,node,Walter Reynecke,dentist,,,,,,,-25.8185300,28.2843000
550179550,node,Link,pharmacy,,,,,,,-25.8078358,28.2980385
551685373,node,Disa Apteek,pharmacy,pharmacy,,,,,,-25.8069443,28.3167058
588549147,node,Clicks,pharmacy,pharmacy,,,,,,-29.4968681,30.2336170
596585997,node,Howick West Clinic,doctors,doctor,,,,,,-29.5061626,30.2297458
596597471,node,Medi-Cross Pharmacy,pharmacy,,,,,,,-33.8247307,18.4907258
596606276,node,Merlot Pharmacy,pharmacy,,,,,,,-33.8226183,18.5049415
596606305,node,Table View Vet,veterinary_hospital,,,,,,,-33.8292851,18.5043944
597105520,node,,pharmacy,,,,,,,-26.2643483,28.1539618
597793710,node,Klinicare Lorrraine,pharmacy,pharmacy,Port Elizabeth,Circular Drive,6000,+27413671336,https://klinicare.co.za,-33.9698171,25.5262721
600328717,node,,dentist,dentist,,,,,,-25.8069100,28.3158700
600332644,node,,dentist,,,,,,,-25.7523300,28.3095000
601128630,node,Clicks,pharmacy,,,,,,,-33.9715411,22.4450628
614775482,node,Dischem,pharmacy,pharmacy,,,,,,-26.1313600,27.9763700
614836975,node,Clicks,pharmacy,pharmacy,,,,,,-26.1306869,27.9747771
615063751,node,,pharmacy,,,,,,,-28.0209508,32.2728581
616726496,node,,doctors,doctor,,,,,,-33.2840336,19.1442643
624175578,node,Rosendal Spa,,spa,,,,,,-33.8020728,19.9876679
624638217,node,Noordwyk,pharmacy,,,,,,,-25.9512270,28.1239404
624638222,node,,dentist,,,,,,,-25.9529700,28.1233300
624638227,node,Link,pharmacy,,,,,,,-25.9904000,28.0753500
624638248,node,,dentist,,,,,,,-25.9910200,28.0757900
656667355,node,Clicks,pharmacy,pharmacy,,,,,,-25.9962906,28.1266973
656667411,node,Kalapeng,pharmacy,pharmacy,,,,,,-25.9976632,28.1261192
659302666,node,De Beers Assc,dentist,dentist,,,,,,-25.4763837,30.9779616
664608362,node,Dr CM Henning,doctors,doctor,,,,+27 12 662 1124,,-25.8390141,28.2390150
664608444,node,Kirkness,pharmacy,pharmacy,,,,+27 12 662 2182,,-25.8389851,28.2388550
664608446,node,Dr J Cronjé,doctors,doctor,,,,,,-25.8392261,28.2390789
665139933,node,Clicks,pharmacy,pharmacy,,,,,,-26.1251626,28.0331897
670231129,node,Dental Surgery,dentist,dentist,,,,,,-26.2409447,28.0058141
676282189,node,Galleon,pharmacy,pharmacy,,,,,,-26.1251165,28.0337705
676282254,node,Clicks,pharmacy,pharmacy,,,,,,-26.0746650,28.0642479
676282373,node,,dentist,dentist,,,,,,-26.0257591,28.0660316
687081379,node,Dr Mabusela,dentist,dentist,,,,,,-25.6408187,27.2135755
687898202,node,Clicks,pharmacy,pharmacy,,,,,,-26.1819568,28.0048035
689900591,node,Witzen Pharmacy,pharmacy,pharmacy,,,,,,-33.3662140,19.3165934
690745648,node,Ouklip Pharmacy,pharmacy,pharmacy,Roodepoort,Ouklip Road,1724,,,-26.1087310,27.8550039
690745733,node,Clicks,pharmacy,,,,,,,-26.0916677,27.8712933
690745780,node,,dentist,,,,,,,-26.0889225,27.8705310
690824316,node,Clicks,pharmacy,pharmacy,,,,,,-26.0601565,27.9470118
690824395,node,Dischem,pharmacy,pharmacy,,,,,,-26.0583314,27.9467935
703198187,node,Clicks,pharmacy,,,,,,,-30.7433566,30.4549447
704336998,node,Hamburg Clinic,clinic,clinic,"Hamburg, Amathole District",,5641,,,-33.2906344,27.4732997
705485853,node,Goedehoop Pharmacy,pharmacy,pharmacy,,,,,,-34.1007328,18.8307879
713239644,node,Bolze's Family Pharmacy,pharmacy,,,,,,,-31.8964424,26.8735075
745254986,node,Rustenberg Pharmacy,pharmacy,pharmacy,,,,,,-34.1073491,18.4710697
757436919,node,,doctors,doctor,,,,,,-26.2233464,27.9175993
775241493,node,Clicks,pharmacy,pharmacy,,,,,,-26.1932293,28.0345190
782327276,node,Esselen Street Clinic,doctors,doctor,Johannesburg,Esselen Street,,+27 11 725 6721,,-26.1907660,28.0449549
815841571,node,Bhekumthetu Clinic,clinic,clinic,,Emondlo,,,,-27.9732598,30.7379331
833256354,node,Klinicare - Belmore,pharmacy,pharmacy,,Cape Road,,,,-33.9456171,25.5434498
833378660,node,Dr Kolnick,dentist,,,,,,,-33.9475552,25.5683511
833378676,node,Klinimed,pharmacy,pharmacy,Gqeberha,Newton Street,6045,+27 41 395 7500,hhtps://klinicare.co.za,-33.9476672,25.5652445
833482135,node,Stoneridge,pharmacy,,,,,,,-26.1153257,28.1439844
833482211,node,Dischem,pharmacy,,,,,,,-26.1193576,28.1408523
841771112,node,Alpha Pharm,pharmacy,pharmacy,,,,,,-29.8585985,31.0382870
842084525,node,,doctors,doctor,,,,,,-29.8444119,31.0341342
843735574,node,Alpha Pharm,pharmacy,pharmacy,,,,,,-29.8690780,31.0451133
846363677,node,Rafia Pharmacy,pharmacy,,,,,,,-28.9563310,31.7563619
846363880,node,,pharmacy,,,,,,,-28.9486719,31.7582337
846996217,node,Westdene Medical Centre,hospital,,Bloemfontein,,,,,-29.1062574,26.2103751
851160783,node,Alpha Pharm,pharmacy,pharmacy,,,,,,-29.7277868,31.0671831
851161076,node,Clicks,pharmacy,pharmacy,,,,,,-29.7276259,31.0669564
859397961,node,Medicare 14th Ave Pharmacy,pharmacy,clinic;pharmacy,,,,,,-26.1506614,27.9442420
859397990,node,L'Corro Pharmacy,pharmacy,,,,,,,-26.1445323,27.9544748
859398151,node,Clicks,pharmacy,pharmacy,,,,,,-26.1262408,27.9046008
859398509,node,,dentist,,,,,,,-26.1415180,27.9567235
859398858,node,Clicks,pharmacy,pharmacy,,,,,,-26.1368230,27.9189839
859398944,node,Clicks,pharmacy,pharmacy,,,,,,-26.1446308,27.9526535
873888256,node,Woodmead Pharmacy,pharmacy,,,,,,,-26.0575232,28.0898970
873890354,node,Dr. Lino Cericola,dentist,,,,,,,-26.0578613,28.0897552
897362050,node,Joel Dorfan Optometrist,,doctor,Wendywood,Darwin Street,2148,,,-26.0832138,28.0854166
897362061,node,Wendywood Clinic,doctors,,,,,,,-26.0824096,28.0848671
905028987,node,,pharmacy,pharmacy,,,,,,-25.5450193,26.0828081
908368408,node,Clicks,pharmacy,,,,,,,-25.7679894,29.4615353
909272666,node,"Alpha Pharm, The Reeds Spar Centre",pharmacy,pharmacy,Centurion,Panorama Street,0154,,,-25.8937994,28.1373658
909272753,node,Medicare,pharmacy,pharmacy,,,,,,-25.9914441,28.0098170
910547213,node,Olifants Apteek,pharmacy,pharmacy,Middelburg,,1050,,,-25.7615844,29.4556145
915478881,node,Dr. Mariam Herbalist,pharmacy,,,,,,,-34.0464090,18.7011571
941959481,node,Dis-Chem,pharmacy,pharmacy,,,,,,-25.8241845,28.3148122
957984198,node,,dentist,,,,,,,-25.8888485,28.1509367
964721236,node,Doctor J. Meyer,doctors,,,,,,,-26.4991344,28.3636156
969090310,node,Good Health,pharmacy,pharmacy,,,,,,-26.0733697,28.0130749
993730186,node,Chris Du Preez,dentist,dentist,,,,,,-33.9572505,22.4557957
993730218,node,,pharmacy,pharmacy,,,,,,-33.9576122,22.4571639
999649656,node,Medicross Roodepoort - Princess Crossing,doctors,doctor;pharmacy,Roodepoort,Ontdekkers Road,1724,,,-26.1305974,27.8519689
1001181736,node,Dr. J Smith,dentist,dentist,,,,,,-25.6848793,28.2142773
1001181747,node,Mattress Medi Centre,,yes,,,,,,-25.6850734,28.1893791
1001182002,node,Dis-Chem,pharmacy,pharmacy,Pretoria,Lavender Road,0116,,,-25.6856081,28.1885350
1001182047,node,Intercare,doctors,clinic;doctor;hospital,Pretoria,,0182,,,-25.6856958,28.1884370
1001182073,node,Zambesi,pharmacy,,,,,,,-25.6864504,28.2314783
1041270759,node,Deneysville Pharmacy,pharmacy,,,,,+27163711387,,-26.8897601,28.0973053
1041270766,node,Deneysville Clinic,doctors,,,,,,,-26.8909305,28.0975202
1043748285,node,Wilgeheuwel,pharmacy,,,,,,,-26.1007775,27.9055514
1046184306,node,Dis-Chem,pharmacy,pharmacy,,,,,,-26.0928203,28.0364388
1046184830,node,Clicks,pharmacy,,,,,,,-26.1215444,28.1381539
1056217363,node,Dischem,pharmacy,,,,,,,-26.1486064,28.0805005
1056217749,node,Junxion Pharmacy,pharmacy,pharmacy,,,,,,-26.1359369,28.2317953
1056217794,node,,pharmacy,,,,,,,-26.1371738,28.0580330
1062276860,node,Seabreeze Medical Centre,doctors,,,,,,,-33.0906832,18.0336584
1062276880,node,Link Langebaan Pharmacy,pharmacy,,,,,,,-33.0905480,18.0336934
1076940681,node,Madwaleni Hospital,hospital,hospital,Eastern Cape,Mqanduli,,,,-32.0968936,28.8799336
1076946040,node,Hobeni Clinic,hospital,hospital,,,,,,-32.1748610,28.8757777
1089039953,node,DisChem,pharmacy,,,,,,,-25.4422088,30.9622621
1095986424,node,Lenmed La Verna Hospital,hospital,hospital,"Ladysmith,KwaZulu Natal",Convent Road,"3370,",,,-28.5557088,29.7797911
1103398156,node,,pharmacy,,,,,,,-25.8747059,29.2171337
1112584391,node,Clicks,pharmacy,,,,,,,-29.5627238,30.3007367
1112584397,node,Hilton Pharmacy,pharmacy,,,,,,,-29.5621592,30.3008225
1159368393,node,Clicks,pharmacy,pharmacy,,,,,,-34.0853174,18.8530835
1159368452,node,AlphaPharm,pharmacy,pharmacy,,,,,,-34.0851959,18.8533036
1163124236,node,Clicks,pharmacy,pharmacy,Newcastle,Victoria Road,,,,-27.7420319,29.9342956
1163149883,node,Clicks,pharmacy,pharmacy,Newcastle,,,,,-27.7580373,29.9284161
1163149991,node,Alpha Pharm,pharmacy,pharmacy,,,,,,-27.7587894,29.9290752
1167073326,node,,pharmacy,,,,,,,-26.2038273,28.4148518
1174939939,node,,pharmacy,pharmacy,,,,,,-28.7480720,24.7408347
1201552233,node,,doctors,doctor,,,,,,-33.0061915,17.9439340
1203494061,node,Clicks,pharmacy,pharmacy,,,,,,-33.9081851,18.3973600
1206200312,node,,pharmacy,,,,,,,-31.6212876,29.5449049
1221142715,node,Cylnor Pharmacy,pharmacy,pharmacy,,,,,,-34.0634414,18.8339704
1224040417,node,Clicks,pharmacy,pharmacy,,,,,,-25.7583000,28.2426552
1246957394,node,Clicks,pharmacy,,,,,,,-33.8564620,18.6719996
1318717547,node,DR Hugo,doctors,doctor,Polokwane,Arnotha Street,0700,,,-23.8969494,29.4703004
1319226049,node,,pharmacy,pharmacy,,,,,,-28.7733838,20.6218527
1333940504,node,Rietfontein Apteek,pharmacy,pharmacy,Pretoria,Meyer Street,0136,,,-25.7021042,28.2094331
1333940600,node,Stake,doctors,,,,,,,-25.7018107,28.2085300
1333940825,node,Meyers Street Ringpharm,pharmacy,,,,,,,-25.7016614,28.2097458
1342466865,node,,pharmacy,,,,,,,-33.3762262,18.3805997
1368845835,node,Dis-Chem,pharmacy,,,,,,,-26.7102786,27.8223850
1372859985,node,Clicks,pharmacy,,,,,,,-29.5716207,30.3561304
1384870120,node,Kathu Apteek,pharmacy,pharmacy,,,,,,-27.6972700,23.0467407
1411955680,node,YWP Pharmacy,pharmacy,,,,,,,-29.9191503,30.9411820
1424958471,node,Ambler McDonald Pharmacy,pharmacy,pharmacy,,,,,,-29.9238647,30.9690541
1433615056,node,dis-chem,pharmacy,pharmacy,,,,,,-26.2677585,28.0511206
1434317784,node,Clicks,pharmacy,pharmacy,,,,,,-26.1797559,28.1173227
1434394492,node,clicks,pharmacy,,,,,,,-26.1883825,28.1236688
1437482901,node,Clicks,pharmacy,pharmacy,,,,,,-26.0191432,28.0073890
1437483172,node,Dis-Chem,pharmacy,pharmacy,Sandton,"Witkoppen Road, Fourways Mall",2068,+27114654420,https://www.dischem.co.za/,-26.0201652,28.0055115
1441047915,node,Clicks,pharmacy,pharmacy,Rosebank,Baker Street,2196,,,-26.1469516,28.0423316
1460687699,node,Ha Grove Hospital,hospital,hospital,,,,,,-25.6852902,30.0390233
1460730197,node,Kharrya Frail Care Centre,hospital,,,,,,,-25.6777777,29.9940587
1465364959,node,Dischem Pharmacy,pharmacy,,,,,,,-33.8718040,18.6317205
1488476101,node,,pharmacy,,,,,,,-33.8800182,18.6853264
1492604520,node,Link Pharmacy,pharmacy,pharmacy,,,,,,-32.9670692,27.9396497
1508385847,node,Dischem Hemingways,pharmacy,,,,,,,-32.9711085,27.8998329
1527151668,node,Park Pharmacy,pharmacy,,,Honeyball Avenue,,,,-26.1595002,27.9046300
1545035122,node,Clicks,pharmacy,pharmacy,,,,,,-25.6754603,28.1714968
1545121529,node,health worx,doctors,dentist;doctor,Boksburg,North Rand Road,1462,,,-26.1798161,28.2488146
1546964400,node,Intercare,pharmacy,,,,,,,-26.1136358,27.8935966
1546965089,node,Clicks,pharmacy,pharmacy,,,,,,-26.0011257,27.9826009
