FacilityId,FacilityName,Province,District,SubDistrict,facility_type,ownership,latitude,longitude,address,ideal_clinic_score,ideal_clinic_category,email,contact_person,hprs_status,wbot_teams,momconnect,medicine_stock_mgmt,ccmdd_linked,registered_patients
425824,Amalienstein Clinic,Western Cape Province,Eden District Municipality,Kannaland Local Municipality,Clinic,Gov Province,-33.4861,21.46493,Die Straat Amallienstein Amaliestein,77,Silver,NONE,,No,,,,No,
786315,Annie Brown Clinic,Western Cape Province,Cape Winelands District Municipality,Witzenberg Local Municipality,Clinic,Gov Province,-33.3769,19.3125,Lynte Street Ceres Ceres,46,Not achieved,ciwilliam@pgwc.gov.co.za,,No,,,,No,
778451,A Mamabolo Clinic,Limpopo Province,Capricorn District Municipality,Polokwane Local Municipality,Clinic,Gov Province,-23.8793,29.8206,MONGWANENG LESHOANE,77,Silver,NONE,,Yes,,,,Yes,
110533,Addo Clinic,Eastern Cape Province,Sarah Baartman District Municipality,Sundays River Valley Local Municipality,Clinic,Gov Province,-33.52623,25.71345,Main Rd. Addo Addo,38,Not achieved,NONE,,Yes,,,,Yes,
429442,Adelaide Gateway Clinic,Eastern Cape Province,Amathole District Municipality,Raymond Mhlaba Local Municipality,Clinic,Gov Province,-32.6999,26.294,Pos Retief Drive Adelaide,85,Not achieved,NONE,,Yes,,,,Yes,
241933,Aeroville Clinic,Eastern Cape Province,Sarah Baartman District Municipality,Blue Crane Route Local Municipality,Clinic,Gov Province,-32.75098,25.60093,15 Birdanire Somerset East,57,Not achieved,,,Yes,,,,Yes,
757742,Aggeneys Clinic,Northern Cape Province,Namakwa District Municipality,Kh̢i-Ma Local Municipality,Clinic,Gov Province,-29.241791,18.841818,Havelock street Aggeneys Aggeneys,72,Not achieved,,,Yes,,,,Yes,
240633,Alexander Bay CHC,Northern Cape Province,Namakwa District Municipality,Richtersveld Local Municipality,Community Health Centre,Gov Province,-28.604997,16.486519,1 Hospital Street Richtersveldt,87,Gold,None,,Yes,,,,No,
863660,Askham CHC,Northern Cape Province,Zwelentlanga Fatman Mgcawu District Municipality,Dawid Kruiper Local Municipality,Community Health Centre,Gov Province,-26.9784,20.7831,Mainroad askham,87,Gold,NONE,,Yes,,,,Yes,
722260,Abbotspoort Clinic,Limpopo Province,Waterberg District Municipality,Lephalale Local Municipality,Clinic,Gov Province,-23.455,28.0942,ABBOTSPOORT VILLAGE,65,Not achieved,NONE,,Yes,,,,Yes,
202133,Alldays Clinic,Limpopo Province,Capricorn District Municipality,Blouberg Local Municipality,Clinic,Gov Province,-22.6831,29.1058,None,83,Gold,NONE,Manyaga Ntshengezeni,Yes,,,,Yes,
541751,Alma Clinic,Limpopo Province,Waterberg District Municipality,Mookgophong/Modimolle Local Municipality,Clinic,Gov Province,-24.4888,28.07,Alma,74,Not achieved,None,,Yes,,,,Yes,
375951,Ambergate Clinic,Limpopo Province,Capricorn District Municipality,Blouberg Local Municipality,Clinic,Gov Province,-23.5167,28.9368,Polokwane,81,Silver,,M. Nyaka,Yes,,,,Yes,
451924,Armoed Clinic,Limpopo Province,Waterberg District Municipality,Mogalakwena Local Municipality,Clinic,Gov Province,-23.955,28.9853,ARMOEDE,76,Not achieved,NONE,BAMBO RI,Yes,,,,Yes,
303924,Balgowan Clinic,KwaZulu-Natal Province,uMgungundlovu District Municipality,uMngeni Local Municipality,Clinic,Gov Province,-29.39633,30.05284,R103 Old main road Longmarket Street,92,Platinum,,,Yes,,,,Yes,
778215,Ballito Clinic,KwaZulu-Natal Province,iLembe District Municipality,KwaDukuza Local Municipality,Clinic,Gov Province,-29.5285,31.2061,10 leonora drive ballito,79,Silver,ballito.clinic@kznhealth.gov.za,,Yes,,,,Yes,
352624,Bambanani Clinic,KwaZulu-Natal Province,uMgungundlovu District Municipality,uMshwathi Local Municipality,Clinic,Gov Province,-29.26964,30.8476,Bambanani Area Ozwathini,89,Gold,NONE,,Yes,,,,Yes,
910415,Baniyena Clinic,KwaZulu-Natal Province,uMgungundlovu District Municipality,Mkhambathini Local Municipality,Clinic,Gov Province,-30.11872,30.58766,Baniyena Area,90,Platinum,,,Yes,,,,Yes,
443442,Baphumile Clinic,KwaZulu-Natal Province,Ugu District Municipality,Umzumbe Local Municipality,Clinic,Gov Province,-30.5529,30.3544,Mswilili Ward 13 Umzumbe,63,Not achieved,,,Yes,,,,Yes,
266524,Bayview Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Municipality,-29.9224,30.912703,"Bayberry Grove, Bayview, Chatsworth",74,Silver,,,Yes,,,,Yes,
452151,Beatrice Street Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Province,-29.851865,31.017901,23 Beatrice Street Durban,65,Not achieved,NONE,,Yes,,,,Yes,
847933,Belgrade Clinic,KwaZulu-Natal Province,Zululand District Municipality,uPhongolo Local Municipality,Clinic,Gov Province,-27.26802,31.27903,Phongolo,91,Platinum,None,K.P. Magwaba,Yes,,,,Yes,
544415,Benedictine Gateway Clinic,KwaZulu-Natal Province,Zululand District Municipality,Nongoma Local Municipality,Clinic,Gov Province,-27.894289,31.645422,"Lot. 93, Vryheid Road, Nongoma",,,,Mrs G.T. Shamase,Yes,,,,No,
349451,Bergville Clinic,KwaZulu-Natal Province,Uthukela District Municipality,Okhahlamba Local Municipality,Clinic,Gov Province,-28.73,29.3496,"101 Broadway Street, Bergville",63,Not achieved,,,Yes,,,,Yes,
762042,Besters Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Municipality,-29.7277,30.9855,Vezi road Ntuzuma,76,Not achieved,nhleko@durban.gov.za,,Yes,,,,Yes,
429242,Bethesda Gateway Clinic,KwaZulu-Natal Province,Umkhanyakude District Municipality,Jozini Local Municipality,Clinic,Gov Province,-27.57452,32.08105,uBombo,70,Not achieved,NONE,,Yes,,,,Yes,
576560,Bhekabantu Clinic,KwaZulu-Natal Province,Umkhanyakude District Municipality,uMhlabuyalingana Local Municipality,Clinic,Gov Province,-26.94377,32.33699,Bhekabantu,85,Gold,None,M.F. Tembe,Yes,,,,Yes,
713524,Bhekimpilo Trust - Amatikwe Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-29.6771,30.921227,"Unamed Road of MR93, Inanda",,,,,No,,,,No,
973333,Bhekimpilo Trust - Bekulwandle Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-30.0496,30.844,Bekulwandle L.P School Amanzintoti,,,,,No,,,,No,
383215,Bhekimpilo Trust - Emandleni Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-30.0497,30.844067,,,,,,No,,,,Yes,
565506,Bhekimpilo Trust - Hlengimpilo Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-29.9897,30.822917,,,,,,No,,,,No,
737233,Bhekimpilo Trust - Hlengisizwe Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-29.69,30.903033,,,,,,No,,,,Yes,
674833,Bhekimpilo Trust - Inanda Day Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-29.823,30.65497,,,,,,No,,,,No,
459860,Bhekimpilo Trust - Kusakusa Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,,-30.0139,30.893577,Diskine terrece south beach Durban,,,,,No,,,,No,
963251,Bhekimpilo Trust - Sandasonke Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-30.0139,30.893577,,,,,,No,,,,No,
759724,Bhekumthetho Clinic,KwaZulu-Natal Province,Zululand District Municipality,AbaQulusi Local Municipality,Clinic,Gov Province,-27.97316,30.73797,Bhekumthetho Area Vryheid,77,Silver,,,Yes,,,,Yes,
623015,Bhekuzulu Clinic,KwaZulu-Natal Province,Zululand District Municipality,AbaQulusi Local Municipality,Clinic,Gov Province,-27.776558,30.821912,2625 Gama Avenue Vryheid,87,Gold,,,Yes,,,,Yes,
723315,Bhobhoyi Clinic,KwaZulu-Natal Province,Ugu District Municipality,Ray Nkonyeni Local Municipality,Clinic,Gov Province,-30.7413,30.3857,Mganka Area Port Shepstone,86,Gold,,,Yes,,,,Yes,
989042,Bhomela Clinic,KwaZulu-Natal Province,Ugu District Municipality,Ray Nkonyeni Local Municipality,Clinic,Gov Province,-30.7686,30.3389,Paddock Road Port Shepstone,89,Gold,,,Yes,,,,Yes,
213251,Blue Roof Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Province Aided,-29.7601,30.941302,74 Lubbe Street,,,,,No,,,,No,
440224,Bluff Clinic,KwaZulu-Natal Province,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,Clinic,Gov Municipality,-29.9393,30.983617,1302 Bluff road Bluff,74,Silver,NONE,,Yes,,,,Yes,
663542,Brackenham Clinic,KwaZulu-Natal Province,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,Clinic,Gov Province,-28.7495,32.052861,main Road Buchanana Obuka reserve,63,Not achieved,,B. M. Mthethwa,No,,,,No,
755851,Braemer Clinic,KwaZulu-Natal Province,Ugu District Municipality,Ray Nkonyeni Local Municipality,Clinic,Gov Province,-30.9696,30.1855,Izingolweni roadKwaNzimakwe Port Shepstone,86,Gold,,,Yes,,,,Yes,
368815,Bruntville CHC,KwaZulu-Natal Province,uMgungundlovu District Municipality,Mpofana Local Municipality,Community Health Centre,Gov Province,-29.21488,30.01097,Old Main Road Mooi river,84,Gold,ntombintombi.hlatshwayo@kznhealth.gov.za,,Yes,,,,Yes,
225215,Buchanana Clinic,KwaZulu-Natal Province,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,Clinic,Gov Province,-28.5933,31.7565,main Road Buchanana Obuka reserve Empangeni,67,Not achieved,NONE,,Yes,,,,Yes,
167742,Busingatha Clinic,KwaZulu-Natal Province,Uthukela District Municipality,Okhahlamba Local Municipality,Clinic,Gov Province,-28.7065,28.9981,Busingatha Area,78,Not achieved,None,,Yes,,,,Yes,
157851,Buxedene Clinic,KwaZulu-Natal Province,Zululand District Municipality,Nongoma Local Municipality,Clinic,Gov Province,-28.00432,31.85118,R618 Buxedene Buxede,83,Gold,NONE,,Yes,,,,Yes,
786642,Badirile Clinic,Gauteng Province,West Rand District Municipality,Rand West City Local Municipality,Clinic,Gov Province,-26.140536,27.585591,Plot 261Brandvlei Randfontein,69,Not achieved,,,Yes,,,,Yes,
934233,Barcelona Clinic,Gauteng Province,Ekurhuleni Metropolitan Municipality,Ekurhuleni East 1 Health sub-District,Clinic,Gov Municipality,-26.1091,28.45219,22286 Barcelona Etwatwa Etwatwa,87,Gold,mokoenass.ss.ekurhuleni.gov.za,,Yes,,,,No,
